Item,Item code,Type,Parent code,Link
Naturturism,NBNAT,focus,NB,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=NB001&orientationCode=NBNAT&orientationName=Naturturism&a=NBNAT&tos=gy
Skogsbruk,NBSKG,focus,NB,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=NB001&orientationCode=NBSKG&orientationName=Skogsbruk&a=NBSKG&tos=gy
Trädgård,NBTRA,focus,NB,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=NB001&orientationCode=NBTRA&orientationName=Tr%C3%A4dg%C3%A5rd&a=NBTRA&tos=gy
Naturvetenskapsprogrammet,NA,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=NA001&version=7&tos=gy
Naturvetenskap,NANAT,focus,NA,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=NA001&orientationCode=NANAT&orientationName=Naturvetenskap&a=NANAT&tos=gy
Naturvetenskap och samhälle,NANAS,focus,NA,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=NA001&orientationCode=NANAS&orientationName=Naturvetenskap+och+samh%C3%A4lle&a=NANAS&tos=gy
Restaurang- och livsmedelsprogrammet,RL,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=RL001&version=15&tos=gy
Bageri och konditori,RLBAG,focus,RL,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=RL001&orientationCode=RLBAG&orientationName=Bageri+och+konditori&a=RLBAG&tos=gy
Kök och servering,RLKOK,focus,RL,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=RL001&orientationCode=RLKOK&orientationName=K%C3%B6k+och+servering&a=RLKOK&tos=gy
Samhällsvetenskapsprogrammet,SA,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=SA001&version=6&tos=gy
